fecha,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha
"2018-03-04 00:00:00","CARTAGENA","MURCIA","17","14.6","0.4","12","2018-03-04 01:30:00","17.2","2018-03-04 20:30:00","28","2.2","11.4","2018-03-04 11:50:00"
"2018-03-04 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","13.2","0.1","8.2","2018-03-04 05:42:00","18.1","2018-03-04 15:12:00","22","3.9","11.4","2018-03-04 13:37:00"
"2018-03-05 00:00:00","CARTAGENA","MURCIA","17","14.2","0.2","12.2","2018-03-05 15:00:00","16.1","2018-03-05 09:20:00","24","4.2","15","2018-03-05 02:10:00"
"2018-03-05 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","13.6","1.2","9.4","2018-03-05 06:44:00","17.7","2018-03-05 09:29:00","25","5.8","17.5","2018-03-05 14:51:00"
"2018-03-06 00:00:00","CARTAGENA","MURCIA","17","14.6","0.1","12.6","2018-03-06 07:10:00","16.7","2018-03-06 11:10:00","23","3.1","10.3","2018-03-06 15:10:00"
"2018-03-06 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","13","0.3","6.4","2018-03-06 05:12:00","19.5","2018-03-06 13:14:00","20","5.8","12.8","2018-03-06 16:12:00"
"2018-03-07 00:00:00","CARTAGENA","MURCIA","17","13.6","0.7","10.5","2018-03-07 07:10:00","16.8","2018-03-07 12:40:00","16","2.5","8.1","2018-03-07 17:10:00"
"2018-03-07 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","13.8","0.6","7.5","2018-03-07 05:05:00","20.1","2018-03-07 13:19:00","30","3.3","10.3","2018-03-07 10:38:00"
"2018-03-08 00:00:00","CARTAGENA","MURCIA","17","14","0.3","12.1","2018-03-08 06:40:00","15.9","2018-03-08 18:30:00","18","1.7","9.2","2018-03-08 13:30:00"
"2018-03-08 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","15.4","0.5","11.4","2018-03-08 06:56:00","19.3","2018-03-08 14:17:00","21","4.2","9.7","2018-03-08 15:46:00"
"2018-03-09 00:00:00","CARTAGENA","MURCIA","17","14.8","0.1","12.2","2018-03-09 06:00:00","17.5","2018-03-09 12:30:00","19","2.2","11.4","2018-03-09 16:10:00"
"2018-03-09 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","15.9","0","9.5","2018-03-09 06:10:00","22.3","2018-03-09 14:39:00","20","4.4","12.5","2018-03-09 13:30:00"
"2018-03-10 00:00:00","CARTAGENA","MURCIA","17","18.5","0","15.2","2018-03-10 04:50:00","21.8","2018-03-10 19:20:00","22","3.1","11.7","2018-03-10 17:20:00"
"2018-03-10 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","18.4","0","13.3","2018-03-10 00:28:00","23.5","2018-03-10 14:50:00","21","5.3","15","2018-03-10 00:00:00"
"2018-03-11 00:00:00","CARTAGENA","MURCIA","17","17","0","14.8","2018-03-11 05:50:00","19.1","2018-03-11 16:00:00","24","4.4","13.3","2018-03-11 14:50:00"
"2018-03-11 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","16.4","0.2","11.9","2018-03-11 23:08:00","20.8","2018-03-11 15:33:00","26","8.1","18.6","2018-03-11 16:01:00"
"2018-03-12 00:00:00","CARTAGENA","MURCIA","17","16.2","0","14.1","2018-03-12 05:20:00","18.4","2018-03-12 10:50:00","23","4.7","11.1","2018-03-12 06:20:00"
"2018-03-12 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","16.8","0","11.3","2018-03-12 05:58:00","22.2","2018-03-12 11:59:00","27","6.4","16.1","2018-03-12 11:31:00"
